in:SolutionNr,in:6_floor,in:12_floor,in:25_floor,in:concrete,in:grass,in:sand,in:water,out:no_voids,out:NE,out:NW,out:SW,out:SE,out:Δ_temp,out:sunlight,out:sky_exposure,out: linked,img
10,0.5,0.6,0.7,0.3,0.4,0.4,0.6,51,12,15,17,7,6.9,8.4,1.7,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00010.webp
11,0.5,0.6,0.6,0.7,0.7,0.5,0.7,51,13,15,10,13,6.6,7.7,1.9,57,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00011.webp
12,0.6,0.6,0.4,0.6,0.6,0.2,0.5,51,11,16,13,11,7.5,9.1,2.1,64,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00012.webp
13,0.4,0.5,0.6,0.7,0.4,0.4,0.3,51,11,16,11,13,5.2,7.3,2.8,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00013.webp
14,0.5,0.6,0.6,0.3,0.5,0.4,0.4,26,7,9,7,3,7.1,8.1,2.0,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00014.webp
15,0.4,0.3,0.5,0.5,0.7,0.2,0.5,51,12,14,12,13,6.3,8.3,2.7,49,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00015.webp
16,0.5,0.6,0.6,0.7,0.7,0.5,0.7,51,13,15,10,13,6.4,7.9,2.0,90,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00016.webp
17,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,7.6,8.3,1.8,47,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00017.webp
18,0.5,0.6,0.7,0.3,0.4,0.4,0.6,51,12,14,16,9,6.9,8.2,2.0,68,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00018.webp
19,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00019.webp
20,0.4,0.3,0.5,0.5,0.7,0.2,0.5,51,12,14,12,13,6.3,8.3,2.7,49,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00020.webp
21,0.5,0.7,0.7,0.7,0.7,0.4,0.7,51,11,13,16,11,5.9,7.4,2.4,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00021.webp
22,0.4,0.3,0.5,0.6,0.7,0.2,0.5,51,11,16,13,11,4.4,7.3,2.4,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00022.webp
23,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00023.webp
24,0.4,0.5,0.6,0.7,0.3,0.4,0.2,51,13,16,11,11,6.0,7.2,2.7,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00024.webp
25,0.7,0.6,0.5,0.6,0.4,0.2,0.5,26,5,5,7,9,8.8,8.6,1.5,89,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00025.webp
26,0.4,0.7,0.6,0.7,0.7,0.6,0.7,26,7,9,5,5,4.3,6.7,1.7,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00026.webp
27,0.4,0.5,0.6,0.7,0.4,0.4,0.3,26,4,9,6,7,4.4,6.4,1.9,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00027.webp
28,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00028.webp
29,0.4,0.3,0.5,0.6,0.7,0.2,0.5,51,11,16,13,11,5.8,8.2,2.1,45,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00029.webp
30,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00030.webp
31,0.4,0.7,0.6,0.6,0.7,0.5,0.5,51,12,14,14,11,5.3,7.5,2.5,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00031.webp
32,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00032.webp
33,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00033.webp
34,0.7,0.3,0.5,0.5,0.4,0.2,0.5,51,11,13,13,14,8.6,8.8,2.1,54,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00034.webp
35,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00035.webp
36,0.5,0.6,0.3,0.3,0.4,0.4,0.3,26,4,9,6,7,7.9,8.6,1.5,52,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00036.webp
37,0.7,0.3,0.6,0.6,0.7,0.2,0.5,51,12,17,10,12,5.8,7.8,2.1,72,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00037.webp
38,0.4,0.3,0.6,0.7,0.6,0.2,0.5,51,13,15,11,12,6.0,8.3,2.5,64,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00038.webp
39,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00039.webp
40,0.4,0.5,0.6,0.7,0.5,0.4,0.5,26,5,8,5,8,4.9,6.4,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00040.webp
41,0.4,0.3,0.5,0.6,0.7,0.2,0.5,51,11,16,13,11,5.8,8.2,2.1,45,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00041.webp
42,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00042.webp
43,0.4,0.5,0.6,0.7,0.3,0.4,0.2,51,13,16,11,11,6.0,7.2,2.7,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00043.webp
44,0.5,0.6,0.6,0.3,0.7,0.5,0.6,26,6,8,7,5,4.7,6.9,1.8,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00044.webp
45,0.7,0.3,0.5,0.5,0.4,0.2,0.5,51,11,13,13,14,8.6,8.8,2.1,54,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00045.webp
46,0.6,0.4,0.7,0.6,0.6,0.3,0.5,51,11,16,11,13,6.0,7.9,2.2,64,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00046.webp
47,0.4,0.5,0.6,0.7,0.3,0.4,0.2,51,13,16,11,11,6.0,7.2,2.7,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00047.webp
48,0.4,0.5,0.6,0.3,0.4,0.4,0.3,26,4,8,7,7,3.7,6.4,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00048.webp
49,0.7,0.3,0.5,0.6,0.4,0.2,0.5,51,11,13,13,14,8.6,8.8,2.1,54,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00049.webp
50,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00050.webp
51,0.5,0.6,0.3,0.3,0.4,0.4,0.3,26,4,9,6,7,7.9,8.6,1.5,52,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00051.webp
52,0.4,0.5,0.6,0.7,0.4,0.4,0.3,26,4,9,6,7,4.4,6.4,1.9,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00052.webp
53,0.4,0.7,0.6,0.6,0.5,0.5,0.5,51,8,15,15,13,6.5,7.6,2.2,87,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00053.webp
54,0.7,0.5,0.7,0.6,0.6,0.3,0.2,51,10,10,13,18,11.7,9.5,1.7,88,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00054.webp
55,0.7,0.6,0.5,0.6,0.4,0.2,0.5,26,6,6,6,8,8.7,8.4,1.6,71,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00055.webp
56,0.7,0.3,0.5,0.5,0.4,0.2,0.5,51,11,13,13,14,8.6,8.8,2.1,54,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00056.webp
57,0.7,0.3,0.6,0.6,0.7,0.2,0.5,51,12,17,10,12,5.8,7.8,2.1,72,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00057.webp
58,0.4,0.6,0.6,0.7,0.7,0.5,0.5,26,5,8,8,5,5.6,7.3,1.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00058.webp
59,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00059.webp
60,0.4,0.6,0.6,0.5,0.4,0.5,0.5,26,5,7,7,7,5.3,7.2,1.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00060.webp
61,0.4,0.5,0.6,0.7,0.5,0.3,0.2,51,13,15,13,10,6.9,7.3,2.7,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00061.webp
62,0.4,0.3,0.6,0.7,0.6,0.2,0.5,51,13,15,11,12,6.0,8.3,2.5,64,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00062.webp
63,0.4,0.3,0.5,0.5,0.4,0.2,0.5,51,11,16,13,11,7.7,8.3,2.7,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00063.webp
64,0.4,0.3,0.5,0.6,0.7,0.2,0.5,51,11,16,13,11,5.8,8.2,2.1,45,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00064.webp
65,0.4,0.3,0.6,0.6,0.7,0.2,0.5,51,12,16,12,11,4.2,7.0,2.6,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00065.webp
66,0.4,0.6,0.5,0.5,0.4,0.5,0.5,26,5,7,7,7,4.8,6.7,1.8,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00066.webp
67,0.4,0.5,0.6,0.7,0.5,0.3,0.6,51,13,16,11,11,7.7,8.3,2.2,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00067.webp
68,0.7,0.3,0.6,0.6,0.7,0.2,0.5,26,6,9,5,6,5.5,7.5,1.9,88,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00068.webp
69,0.7,0.5,0.7,0.6,0.6,0.3,0.2,51,10,10,13,18,11.7,9.5,1.7,88,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00069.webp
70,0.4,0.6,0.6,0.7,0.7,0.5,0.5,51,11,15,15,10,6.2,7.7,2.3,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00070.webp
71,0.4,0.3,0.6,0.6,0.7,0.5,0.5,51,12,14,14,11,5.4,7.4,2.7,96,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00071.webp
72,0.4,0.5,0.6,0.3,0.5,0.3,0.3,26,6,9,7,4,4.0,6.3,2.0,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00072.webp
73,0.4,0.6,0.5,0.7,0.4,0.5,0.5,26,6,8,6,6,5.0,6.8,1.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00073.webp
74,0.5,0.6,0.3,0.3,0.4,0.4,0.3,26,4,9,6,7,7.9,8.6,1.5,52,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00074.webp
75,0.4,0.4,0.6,0.3,0.3,0.3,0.6,26,6,9,7,4,6.1,7.2,1.7,20,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00075.webp
76,0.4,0.3,0.3,0.3,0.7,0.2,0.5,51,12,14,12,13,7.0,7.7,2.2,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00076.webp
77,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00077.webp
78,0.4,0.6,0.5,0.7,0.4,0.5,0.5,26,6,8,6,6,5.0,6.8,1.7,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00078.webp
79,0.5,0.6,0.3,0.3,0.4,0.4,0.3,26,4,9,6,7,7.9,8.6,1.5,52,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00079.webp
80,0.7,0.4,0.6,0.4,0.4,0.2,0.5,26,7,7,7,5,9.6,8.2,2.4,65,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00080.webp
81,0.5,0.6,0.3,0.6,0.4,0.6,0.7,26,5,7,7,7,8.3,8.3,1.6,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00081.webp
82,0.5,0.4,0.4,0.4,0.4,0.4,0.3,26,6,8,6,6,7.3,8.5,1.7,31,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00082.webp
83,0.7,0.5,0.6,0.6,0.6,0.3,0.6,51,14,9,12,16,5.9,7.6,2.3,81,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00083.webp
84,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00084.webp
85,0.4,0.3,0.6,0.6,0.7,0.2,0.5,51,12,17,12,10,5.4,7.9,2.0,41,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00085.webp
86,0.4,0.5,0.6,0.5,0.7,0.4,0.5,26,7,7,7,5,4.3,6.5,1.9,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00086.webp
87,0.5,0.4,0.4,0.4,0.4,0.4,0.3,26,6,8,6,6,7.3,8.5,1.7,31,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00087.webp
88,0.6,0.4,0.6,0.3,0.7,0.4,0.3,51,14,16,14,7,6.8,7.9,2.7,78,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00088.webp
89,0.4,0.3,0.6,0.6,0.7,0.2,0.5,51,12,16,12,11,4.2,7.0,2.6,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00089.webp
90,0.5,0.6,0.3,0.3,0.4,0.4,0.3,26,4,9,6,7,7.9,8.6,1.5,52,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00090.webp
91,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00091.webp
92,0.4,0.4,0.6,0.7,0.4,0.3,0.7,26,6,8,5,7,6.9,6.9,2.0,30,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00092.webp
93,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00093.webp
94,0.6,0.4,0.6,0.3,0.7,0.4,0.3,51,15,17,12,7,7.1,8.1,2.5,78,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00094.webp
95,0.6,0.6,0.7,0.6,0.7,0.5,0.2,51,15,10,13,13,7.4,8.4,1.8,59,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00095.webp
96,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00096.webp
97,0.5,0.5,0.5,0.7,0.6,0.2,0.3,51,11,15,11,14,7.4,8.7,2.0,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00097.webp
98,0.5,0.4,0.6,0.3,0.4,0.3,0.4,26,6,9,7,4,3.7,6.3,1.9,75,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00098.webp
99,0.4,0.5,0.6,0.5,0.7,0.4,0.5,26,7,6,7,6,4.1,6.3,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00099.webp
100,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00100.webp
101,0.4,0.4,0.6,0.7,0.4,0.3,0.7,26,6,8,5,7,6.9,6.9,2.0,30,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00101.webp
102,0.7,0.5,0.6,0.6,0.6,0.3,0.6,51,14,9,12,16,5.9,7.6,2.3,81,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00102.webp
103,0.5,0.5,0.6,0.7,0.7,0.3,0.6,51,13,16,11,11,7.4,8.2,2.8,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00103.webp
104,0.4,0.3,0.6,0.7,0.6,0.2,0.5,51,13,15,11,12,6.0,8.3,2.5,64,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00104.webp
105,0.7,0.6,0.4,0.6,0.4,0.2,0.2,26,5,7,6,8,10.1,9.4,1.5,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00105.webp
106,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00106.webp
107,0.4,0.3,0.6,0.7,0.6,0.2,0.5,51,13,15,11,12,6.0,8.3,2.5,64,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00107.webp
108,0.4,0.6,0.6,0.3,0.6,0.2,0.5,26,5,8,5,8,5.3,7.2,1.9,40,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00108.webp
109,0.4,0.5,0.6,0.7,0.4,0.3,0.2,26,6,6,7,7,4.0,6.2,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00109.webp
110,0.5,0.6,0.3,0.3,0.4,0.4,0.3,26,4,9,6,7,7.9,8.6,1.5,52,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00110.webp
111,0.4,0.3,0.6,0.6,0.7,0.3,0.5,51,12,17,10,12,4.7,7.1,2.2,83,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00111.webp
112,0.4,0.4,0.6,0.7,0.4,0.4,0.2,51,11,11,16,13,6.1,7.5,2.4,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00112.webp
113,0.4,0.3,0.6,0.7,0.6,0.2,0.5,51,13,15,11,12,6.0,8.3,2.5,64,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00113.webp
114,0.4,0.5,0.5,0.7,0.4,0.2,0.2,128,27,27,27,47,13.7,9.8,1.5,98,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00114.webp
115,0.4,0.4,0.6,0.7,0.4,0.3,0.7,26,6,8,5,7,6.9,6.9,2.0,30,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00115.webp
116,0.6,0.4,0.6,0.3,0.7,0.4,0.3,51,15,17,12,7,7.1,8.1,2.5,78,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00116.webp
117,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00117.webp
118,0.4,0.6,0.5,0.7,0.7,0.2,0.2,51,12,17,7,15,4.6,7.6,2.6,91,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00118.webp
119,0.5,0.5,0.6,0.7,0.7,0.3,0.6,51,13,16,11,11,7.4,8.2,2.8,55,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00119.webp
120,0.7,0.6,0.4,0.6,0.4,0.2,0.2,26,5,7,6,8,10.1,9.4,1.5,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00120.webp
121,0.4,0.5,0.6,0.7,0.4,0.3,0.2,26,6,6,7,7,4.0,6.2,2.0,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00121.webp
122,0.4,0.4,0.6,0.7,0.4,0.3,0.7,26,6,8,5,7,6.9,6.9,2.0,30,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00122.webp
123,0.4,0.3,0.4,0.6,0.6,0.2,0.5,51,11,16,9,15,6.3,8.4,2.0,51,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00123.webp
124,0.7,0.6,0.3,0.3,0.7,0.4,0.3,26,4,9,4,9,8.4,8.7,1.8,67,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00124.webp
125,0.7,0.4,0.6,0.6,0.6,0.3,0.6,51,14,9,12,16,6.1,7.6,2.3,81,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00125.webp
126,0.7,0.6,0.4,0.6,0.4,0.2,0.2,26,5,7,6,8,10.1,9.4,1.5,25,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00126.webp
127,0.4,0.5,0.6,0.7,0.4,0.3,0.6,51,13,11,13,14,5.7,7.3,2.8,72,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00127.webp
128,0.5,0.4,0.4,0.3,0.2,0.5,0.5,26,5,7,7,7,6.9,8.0,2.9,100,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00128.webp
129,0.4,0.7,0.6,0.7,0.7,0.5,0.7,26,6,9,5,6,4.6,6.7,1.7,23,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00129.webp
130,0.5,0.3,0.4,0.4,0.2,0.5,0.6,128,27,27,37,37,11.2,10.3,1.5,97,https://daniyalt.github.io/Synthetic_void_Critical_Future/design_explorer_data/DefaultData/Frame_00130.webp
